,Biological condition,Biological condition,Biological condition,Biological condition,Biological condition,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Salinity,Salinity,Salinity,Salinity,Pollution tolerance,Pollution tolerance,Pollution tolerance,Nutrient,Nutrient,Nutrient,Nutrient,Habit,Habit,Nitrogen fixation,Nitrogen fixation,Motility,Motility,Motility,Motility,Motility,Size,Size,Size,Size,Size,Taxonomy,Taxonomy,Taxonomy,Taxonomy,Habit,Habit,Motility,Taxonomy,Taxonomy,Biological condition,Biological condition,Biological condition,Biological condition,Biological condition,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Salinity,Salinity,Salinity,Salinity,Pollution tolerance,Pollution tolerance,Pollution tolerance,Nutrient,Nutrient,Nutrient,Nutrient,Habit,Habit,Nitrogen fixation,Nitrogen fixation,Motility,Motility,Motility,Motility,Motility,Size,Size,Size,Size,Size,Taxonomy,Taxonomy,Taxonomy,Taxonomy,Habit,Habit,Motility,Taxonomy,Taxonomy,Biological condition,Biological condition,Biological condition,Biological condition,Biological condition,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Trophic status,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Organic enrichment,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Pollution tolerance,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Dissolved oxygen preference,Salinity,Salinity,Salinity,Salinity,Pollution tolerance,Pollution tolerance,Pollution tolerance,Nutrient,Nutrient,Nutrient,Nutrient,Habit,Habit,Nitrogen fixation,Nitrogen fixation,Motility,Motility,Motility,Motility,Motility,Size,Size,Size,Size,Size,Taxonomy,Taxonomy,Taxonomy,Taxonomy,Habit,Habit,Motility,Taxonomy,Taxonomy
204,0,2,2,2,0,0,0,1,0,4,0,0,0,3,1,1,0,1,1,0,1,0,1,0,2,1,0,0,6,0,0,1,1,1,1,2,2,3,6,0,0,6,1,1,0,4,0,1,4,1,0,0,0,0,0,0,3,1,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0.166666667,0,0.666666667,0,0,0,0.5,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,0.333333333,0.166666667,0,0,1,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.5,1,0,0,1,0.166666667,0.166666667,0,0.666666667,0,0.166666667,0.666666667,0.166666667,0,0,0,0,0,0,0.5,0.166666667,0,0.166666667,0,0,0.1875,0.625,0.1875,0,0,0,0.0625,0,0.875,0,0,0,0.6875,0.125,0.125,0,0.125,0.125,0,0.5625,0,0.0625,0,0.6875,0.125,0,0,1,0,0,0.125,0.125,0.0625,0.0625,0.6875,0.1875,0.75,1,0,0,1,0.125,0.5625,0,0.3125,0,0.0625,0.875,0.0625,0,0,0,0,0,0,0.25,0.5625,0,0.125,0
205,2,1,4,8,4,0,0,1,2,11,0,0,1,6,7,1,0,1,3,1,4,2,2,3,6,2,0,0,11,2,2,1,6,5,3,7,3,8,18,1,0,19,4,3,3,6,3,3,8,5,2,1,0,1,2,3,4,2,10,2,2,0.105263158,0.052631579,0.210526316,0.421052632,0.210526316,0,0,0.052631579,0.105263158,0.578947368,0,0,0.052631579,0.315789474,0.368421053,0.052631579,0,0.052631579,0.157894737,0.052631579,0.210526316,0.105263158,0.105263158,0.157894737,0.315789474,0.105263158,0,0,0.578947368,0.105263158,0.105263158,0.052631579,0.315789474,0.263157895,0.157894737,0.368421053,0.157894737,0.421052632,0.947368421,0.052631579,0,1,0.210526316,0.157894737,0.157894737,0.315789474,0.157894737,0.157894737,0.421052632,0.263157895,0.105263158,0.052631579,0,0.052631579,0.105263158,0.157894737,0.210526316,0.105263158,0.526315789,0.105263158,0.105263158,0.0091701,0.002289726,0.105288203,0.114631852,0.768620118,0,0,0.054886241,0.002334513,0.194929013,0,0,0.000212737,0.201339126,0.77326675,0.009147707,0,0.009147707,0.027723038,0.002289726,0.10981727,0.091521856,0.091521856,0.096095709,0.046214394,0.0091701,0,0,0.240499597,0.74096426,0.000235131,0.009147707,0.014219814,0.160129658,0.091544249,0.882966455,0.091544249,0.889617297,0.999742476,0.000257524,0,1,0.000537442,0.160084871,0.050357175,0.029738445,0.759282067,0.745538114,0.237890765,0.013811134,0.00254725,0.000212737,0,0.009147707,0.759259674,0.016011286,0.139550116,0.022869267,0.869317673,6.72E-05,0.091734593
206,0,0,3,1,0,0,0,0,0,2,0,1,0,2,0,1,0,1,0,0,1,0,0,0,2,1,0,0,4,0,0,1,0,0,0,2,0,2,4,0,0,4,1,1,0,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0.75,0.25,0,0,0,0,0,0.5,0,0.25,0,0.5,0,0.25,0,0.25,0,0,0.25,0,0,0,0.5,0.25,0,0,1,0,0,0.25,0,0,0,0.5,0,0.5,1,0,0,1,0.25,0.25,0,0.25,0.25,0.25,0.5,0,0,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0.806451613,0.193548387,0,0,0,0,0,0.774193548,0,0.032258065,0,0.612903226,0,0.193548387,0,0.193548387,0,0,0.580645161,0,0,0,0.612903226,0.193548387,0,0,1,0,0,0.193548387,0,0,0,0.774193548,0,0.774193548,1,0,0,1,0.193548387,0.580645161,0,0.193548387,0.032258065,0.193548387,0.774193548,0,0,0.032258065,0,0,0,0,0.193548387,0.580645161,0.032258065,0.193548387,0
207,0,0,1,3,0,0,0,0,0,3,0,1,0,3,1,0,0,0,0,1,2,0,0,1,2,0,0,0,4,0,0,0,2,1,0,3,0,4,4,0,0,4,0,2,0,1,1,0,3,0,1,0,0,0,0,1,1,1,2,0,1,0,0,0.25,0.75,0,0,0,0,0,0.75,0,0.25,0,0.75,0.25,0,0,0,0,0.25,0.5,0,0,0.25,0.5,0,0,0,1,0,0,0,0.5,0.25,0,0.75,0,1,1,0,0,1,0,0.5,0,0.25,0.25,0,0.75,0,0.25,0,0,0,0,0.25,0.25,0.25,0.5,0,0.25,0,0,0.940873041,0.059126959,0,0,0,0,0,0.980398478,0,0.019601522,0,0.999677607,0.000322393,0,0,0,0,0.000322393,0.980076085,0,0,0.039203043,0.941195435,0,0,0,1,0,0,0,0.019923915,0.039203043,0,0.980398478,0,1,1,0,0,1,0,0.980076085,0,0.019601522,0.000322393,0,0.999677607,0,0.000322393,0,0,0,0,0.019601522,0.039203043,0.940873041,0.019923915,0,0.039203043
208,4,7,3,1,0,2,0,3,1,2,0,1,3,3,2,0,0,0,1,0,1,2,5,1,1,0,0,2,7,0,0,0,2,7,7,0,8,1,14,1,0,15,4,1,3,7,0,2,6,6,0,1,1,1,0,0,6,1,3,4,0,0.266666667,0.466666667,0.2,0.066666667,0,0.133333333,0,0.2,0.066666667,0.133333333,0,0.066666667,0.2,0.2,0.133333333,0,0,0,0.066666667,0,0.066666667,0.133333333,0.333333333,0.066666667,0.066666667,0,0,0.133333333,0.466666667,0,0,0,0.133333333,0.466666667,0.466666667,0,0.533333333,0.066666667,0.933333333,0.066666667,0,1,0.266666667,0.066666667,0.2,0.466666667,0,0.133333333,0.4,0.4,0,0.066666667,0.066666667,0.066666667,0,0,0.4,0.066666667,0.2,0.266666667,0,0.060405123,0.90253429,0.028340449,0.008720138,0,0.010900173,0,0.804432737,0.008720138,0.061040966,0,0.017440276,0.02398038,0.02398038,0.069761105,0,0,0,0.052320828,0,0.008720138,0.015260242,0.047960759,0.008720138,0.052320828,0,0,0.015260242,0.128622037,0,0,0,0.061040966,0.069125261,0.112725951,0,0.169406849,0.008720138,0.991279862,0.008720138,0,1,0.113361795,0.006540104,0.795712599,0.084385503,0,0.81097284,0.082841312,0.100281588,0,0.00590426,0.784812426,0.784812426,0,0,0.04950495,0.784812426,0.021164502,0.113361795,0
209,3,5,1,1,0,2,0,2,0,2,0,1,2,2,2,0,0,0,1,0,0,1,4,0,1,0,0,2,5,0,0,0,2,5,5,0,6,1,10,0,0,9,1,1,4,4,0,3,5,1,0,1,2,3,0,0,2,3,2,1,0,0.3,0.5,0.1,0.1,0,0.2,0,0.2,0,0.2,0,0.1,0.2,0.2,0.2,0,0,0,0.1,0,0,0.1,0.4,0,0.1,0,0,0.2,0.5,0,0,0,0.2,0.5,0.5,0,0.6,0.1,1,0,0,0.9,0.1,0.1,0.4,0.4,0,0.3,0.5,0.1,0,0.1,0.2,0.3,0,0,0.2,0.3,0.2,0.1,0,0.100054083,0.881197043,0.009374437,0.009374437,0,0.046872183,0,0.365603029,0,0.046872183,0,0.149990986,0.046872183,0.018748873,0.187488733,0,0,0,0.037497747,0,0,0.009374437,0.206237606,0,0.037497747,0,0,0.046872183,0.534342888,0,0,0,0.046872183,0.240670633,0.418784929,0,0.587524788,0.009374437,1,0,0,0.981251127,0.037497747,0.009374437,0.412475212,0.540652605,0,0.693708311,0.103118803,0.149990986,0,0.0531819,0.365603029,0.384351902,0,0,0.062556337,0.384351902,0.062556337,0.037497747,0
21,2,4,7,10,2,0,0,0,5,9,0,1,0,9,7,0,0,0,4,1,2,2,1,4,10,0,0,0,19,0,1,1,8,5,5,1,7,5,25,2,1,26,6,1,1,12,7,2,8,7,6,1,0,1,5,3,4,2,15,4,2,0.074074074,0.148148148,0.259259259,0.37037037,0.074074074,0,0,0,0.185185185,0.333333333,0,0.037037037,0,0.333333333,0.259259259,0,0,0,0.148148148,0.037037037,0.074074074,0.074074074,0.037037037,0.148148148,0.37037037,0,0,0,0.703703704,0,0.037037037,0.037037037,0.296296296,0.185185185,0.185185185,0.037037037,0.259259259,0.185185185,0.925925926,0.074074074,0.037037037,0.962962963,0.222222222,0.037037037,0.037037037,0.444444444,0.259259259,0.074074074,0.296296296,0.259259259,0.222222222,0.037037037,0,0.037037037,0.185185185,0.111111111,0.148148148,0.074074074,0.555555556,0.148148148,0.074074074,0.00180072,0.261704682,0.274909964,0.43937575,0.00240096,0,0,0,0.013205282,0.320528211,0,0.00180072,0,0.24969988,0.086434574,0,0,0,0.055222089,0.00060024,0.099639856,0.00240096,0.00120048,0.012605042,0.178271309,0,0,0,0.454981993,0,0.00120048,0.00060024,0.078631453,0.156422569,0.388115246,0.090036014,0.442977191,0.111044418,0.973589436,0.026410564,0.00060024,0.99939976,0.049819928,0.090036014,0.009603842,0.816566627,0.033973589,0.241296519,0.151860744,0.538655462,0.06422569,0.000960384,0,0.009603842,0.032412965,0.390756303,0.182472989,0.099639856,0.428571429,0.023409364,0.026410564
210,2,5,3,0,0,0,1,2,0,2,0,1,0,2,2,0,0,0,1,0,1,1,2,0,2,0,0,1,5,0,0,0,1,3,4,1,6,1,9,0,0,10,3,2,1,4,0,2,3,4,0,1,1,1,0,0,2,2,3,3,0,0.2,0.5,0.3,0,0,0,0.1,0.2,0,0.2,0,0.1,0,0.2,0.2,0,0,0,0.1,0,0.1,0.1,0.2,0,0.2,0,0,0.1,0.5,0,0,0,0.1,0.3,0.4,0.1,0.6,0.1,0.9,0,0,1,0.3,0.2,0.1,0.4,0,0.2,0.3,0.4,0,0.1,0.1,0.1,0,0,0.2,0.2,0.3,0.3,0,0.186251621,0.559273671,0.254474708,0,0,0,0.014526589,0.326848249,0,0.254215305,0,0.029053178,0,0.254215305,0.043579767,0,0,0,0.014526589,0,0.239688716,0.014526589,0.043579767,0,0.254215305,0,0,0.014526589,0.486640726,0,0,0,0.014526589,0.164461738,0.389623865,0.239688716,0.433203632,0.239688716,0.985473411,0,0,1,0.094422827,0.254215305,0.31232166,0.339040208,0,0.501167315,0.268741894,0.10920882,0,0.120881971,0.31232166,0.31232166,0,0,0.121141375,0.552010376,0.135667964,0.094422827,0
211,1,3,1,1,0,0,0,2,0,2,0,0,1,2,0,0,0,0,0,0,2,0,1,1,1,0,0,0,4,0,0,0,0,1,2,1,2,2,6,0,0,6,0,1,2,3,0,2,1,1,2,0,1,1,0,1,1,2,2,0,0,0.166666667,0.5,0.166666667,0.166666667,0,0,0,0.333333333,0,0.333333333,0,0,0.166666667,0.333333333,0,0,0,0,0,0,0.333333333,0,0.166666667,0.166666667,0.166666667,0,0,0,0.666666667,0,0,0,0,0.166666667,0.333333333,0.166666667,0.333333333,0.333333333,1,0,0,1,0,0.166666667,0.333333333,0.5,0,0.333333333,0.166666667,0.166666667,0.333333333,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0.333333333,0.333333333,0,0,0.002469136,0.562962963,0.414814815,0.019753086,0,0,0,0.535802469,0,0.434567901,0,0,0.002469136,0.434567901,0,0,0,0,0,0,0.434567901,0,0.002469136,0.019753086,0.414814815,0,0,0,0.456790123,0,0,0,0,0.019753086,0.02962963,0.414814815,0.02962963,0.434567901,1,0,0,1,0,0.414814815,0.543209877,0.041975309,0,0.55308642,0.414814815,0.009876543,0.022222222,0,0.533333333,0.533333333,0,0.019753086,0.009876543,0.948148148,0.02962963,0,0
212,2,4,4,3,0,1,1,1,0,6,0,2,2,7,2,0,0,0,1,1,3,2,6,1,3,0,0,1,11,0,0,0,1,7,5,1,7,4,13,0,0,13,1,2,4,4,2,3,7,1,1,1,1,1,1,0,3,2,5,1,0,0.153846154,0.307692308,0.307692308,0.230769231,0,0.076923077,0.076923077,0.076923077,0,0.461538462,0,0.153846154,0.153846154,0.538461538,0.153846154,0,0,0,0.076923077,0.076923077,0.230769231,0.153846154,0.461538462,0.076923077,0.230769231,0,0,0.076923077,0.846153846,0,0,0,0.076923077,0.538461538,0.384615385,0.076923077,0.538461538,0.307692308,1,0,0,1,0.076923077,0.153846154,0.307692308,0.307692308,0.153846154,0.230769231,0.538461538,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0.230769231,0.153846154,0.384615385,0.076923077,0,0.174555249,0.111909985,0.699437409,0.014097356,0,0.006994374,0.006994374,0.006994374,0,0.153984838,0,0.587527424,0.013988748,0.713534766,0.03497187,0,0,0,0.006994374,0.000108608,0.587527424,0.11890436,0.720420531,0.006994374,0.028086105,0,0,0.006994374,0.825444751,0,0,0,0.006994374,0.783065795,0.915958903,0.020983122,0.950930773,0.035080479,1,0,0,1,0.006994374,0.027977496,0.685448661,0.272476486,0.007102982,0.636488042,0.167864978,0.027977496,0.000108608,0.167560875,0.559549927,0.559549927,0.006994374,0,0.286465234,0.58053305,0.293568217,0.006994374,0
213,3,1,8,1,0,1,0,2,0,4,0,2,2,6,0,0,0,0,0,0,3,2,6,0,1,0,0,2,7,0,0,0,0,7,6,1,6,2,13,0,0,13,2,2,2,7,0,2,4,6,0,1,1,1,0,0,6,2,5,2,0,0.230769231,0.076923077,0.615384615,0.076923077,0,0.076923077,0,0.153846154,0,0.307692308,0,0.153846154,0.153846154,0.461538462,0,0,0,0,0,0,0.230769231,0.153846154,0.461538462,0,0.076923077,0,0,0.153846154,0.538461538,0,0,0,0,0.538461538,0.461538462,0.076923077,0.461538462,0.153846154,1,0,0,1,0.153846154,0.153846154,0.153846154,0.538461538,0,0.153846154,0.307692308,0.461538462,0,0.076923077,0.076923077,0.076923077,0,0,0.461538462,0.153846154,0.384615385,0.153846154,0,0.001737963,0.003235847,0.990172418,0.004853771,0,0.000808962,0,0.005662733,0,0.986127609,0,0.004853771,0.001617924,0.992599304,0,0,0,0,0,0,0.038024338,0.949721195,0.952960174,0,0.036403283,0,0,0.001617924,0.994214096,0,0,0,0,0.016299276,0.953077082,0.036403283,0.955503968,0.041257054,1,0,0,1,0.001617924,0.041257054,0.946485348,0.010639675,0,0.002426886,0.990978249,0.006474826,0,0.000120039,0.001617924,0.001617924,0,0,0.954695006,0.038021206,0.951459158,0.001617924,0
214,2,6,5,4,0,0,0,3,0,5,0,4,1,7,2,0,0,0,1,1,3,2,5,1,3,0,0,1,11,0,0,0,2,7,9,1,10,5,17,0,0,17,1,2,7,6,1,6,5,4,1,1,4,5,0,1,4,6,5,1,0,0.117647059,0.352941176,0.294117647,0.235294118,0,0,0,0.176470588,0,0.294117647,0,0.235294118,0.058823529,0.411764706,0.117647059,0,0,0,0.058823529,0.058823529,0.176470588,0.117647059,0.294117647,0.058823529,0.176470588,0,0,0.058823529,0.647058824,0,0,0,0.117647059,0.411764706,0.529411765,0.058823529,0.588235294,0.294117647,1,0,0,1,0.058823529,0.117647059,0.411764706,0.352941176,0.058823529,0.352941176,0.294117647,0.235294118,0.058823529,0.058823529,0.235294118,0.294117647,0,0.058823529,0.235294118,0.352941176,0.294117647,0.058823529,0,0.002418056,0.124141574,0.866774206,0.006666164,0,0,0,0.073154856,0,0.846838603,0,0.035469021,0.013300883,0.857922673,0.013300883,0,0,0,0.002216814,1.57E-05,0.139659271,0.716030866,0.744849445,0.002216814,0.135241365,0,0,0.013300883,0.895608508,0,0,0,0.013300883,0.055621588,0.778302895,0.13300883,0.793820592,0.139674993,1,0,0,1,0.002216814,0.139659271,0.791402536,0.066705657,1.57E-05,0.101973436,0.853473323,0.044336277,1.57E-05,0.000201243,0.077588484,0.079805298,0,0.002216814,0.74061706,0.212814127,0.718464644,0.002216814,0
215,1,8,7,1,1,0,0,3,1,6,0,3,2,7,3,0,0,0,1,0,4,2,7,2,2,0,0,1,11,1,0,0,3,7,7,2,8,3,18,0,0,18,4,2,5,7,0,6,6,6,0,0,3,3,0,1,2,4,5,4,0,0.055555556,0.444444444,0.388888889,0.055555556,0.055555556,0,0,0.166666667,0.055555556,0.333333333,0,0.166666667,0.111111111,0.388888889,0.166666667,0,0,0,0.055555556,0,0.222222222,0.111111111,0.388888889,0.111111111,0.111111111,0,0,0.055555556,0.611111111,0.055555556,0,0,0.166666667,0.388888889,0.388888889,0.111111111,0.444444444,0.166666667,1,0,0,1,0.222222222,0.111111111,0.277777778,0.388888889,0,0.333333333,0.333333333,0.333333333,0,0,0.166666667,0.166666667,0,0.055555556,0.111111111,0.222222222,0.277777778,0.222222222,0,0.005434783,0.445652174,0.510869565,0.005434783,0.032608696,0,0,0.195652174,0.010869565,0.5,0,0.14673913,0.027173913,0.505434783,0.14673913,0,0,0,0.005434783,0,0.054347826,0.440217391,0.608695652,0.016304348,0.02173913,0,0,0.016304348,0.717391304,0.032608696,0,0,0.081521739,0.184782609,0.625,0.048913043,0.722826087,0.054347826,1,0,0,1,0.032608696,0.02173913,0.684782609,0.260869565,0,0.347826087,0.472826087,0.179347826,0,0,0.244565217,0.244565217,0,0.032608696,0.451086957,0.260869565,0.483695652,0.032608696,0
216,7,8,10,9,0,3,3,2,5,8,0,6,8,10,7,0,0,0,3,2,1,4,11,2,8,1,0,4,19,2,0,0,9,11,7,1,13,4,36,1,0,37,9,2,4,20,2,10,7,10,4,2,2,4,1,5,4,4,17,8,1,0.189189189,0.216216216,0.27027027,0.243243243,0,0.081081081,0.081081081,0.054054054,0.135135135,0.216216216,0,0.162162162,0.216216216,0.27027027,0.189189189,0,0,0,0.081081081,0.054054054,0.027027027,0.108108108,0.297297297,0.054054054,0.216216216,0.027027027,0,0.108108108,0.513513514,0.054054054,0,0,0.243243243,0.297297297,0.189189189,0.027027027,0.351351351,0.108108108,0.972972973,0.027027027,0,1,0.243243243,0.054054054,0.108108108,0.540540541,0.054054054,0.27027027,0.189189189,0.27027027,0.108108108,0.054054054,0.054054054,0.108108108,0.027027027,0.135135135,0.108108108,0.108108108,0.459459459,0.216216216,0.027027027,0.058923189,0.56106845,0.283878633,0.063125701,0,0.017118088,0.008427028,0.280534225,0.091025105,0.313472244,0,0.148518119,0.107879161,0.275451605,0.211643821,0,0,0,0.16204977,0.008339017,0.002816344,0.156769126,0.358225704,0.008515039,0.186978811,0.008251007,0,0.025369095,0.607956171,0.008339017,0,0,0.203480825,0.141345244,0.264406258,0.008251007,0.553191489,0.033004026,0.994719356,0.005280644,0,1,0.376663953,0.016502013,0.429052344,0.153028669,0.02475302,0.519901428,0.313626262,0.094545535,0.021870668,0.016876059,0.288785232,0.305287245,0.016502013,0.041255033,0.157143171,0.305287245,0.232634381,0.371383309,0.005280644
217,1,0,5,2,3,0,0,1,1,7,0,1,2,5,2,1,0,0,2,0,4,1,2,3,4,0,1,0,8,2,1,0,1,4,2,5,3,6,10,1,0,11,5,3,2,0,1,1,7,2,0,1,0,1,1,0,1,3,3,3,2,0.090909091,0,0.454545455,0.181818182,0.272727273,0,0,0.090909091,0.090909091,0.636363636,0,0.090909091,0.181818182,0.454545455,0.181818182,0.090909091,0,0,0.181818182,0,0.363636364,0.090909091,0.181818182,0.272727273,0.363636364,0,0.090909091,0,0.727272727,0.181818182,0.090909091,0,0.090909091,0.363636364,0.181818182,0.454545455,0.272727273,0.545454545,0.909090909,0.090909091,0,1,0.454545455,0.272727273,0.181818182,0,0.090909091,0.090909091,0.636363636,0.181818182,0,0.090909091,0,0.090909091,0.090909091,0,0.090909091,0.272727273,0.272727273,0.272727273,0.181818182,0.01045803,0,0.873245528,0.036603106,0.079693336,0,0,0.026145076,0.020916061,0.937251818,0,0.005229015,0.006487124,0.899390603,0.041832121,0.041832121,0,0,0.041832121,0,0.873245528,0.026145076,0.031374091,0.198702575,0.717633183,0,0.041832121,0,0.810497346,0.188244545,0.001258109,0,0.001258109,0.083664242,0.036603106,0.785610379,0.041832121,0.935993709,0.958167879,0.041832121,0,1,0.079693336,0.732062119,0.151641439,0,0.036603106,0.005229015,0.962138785,0.031374091,0,0.001258109,0,0.005229015,0.036603106,0,0.031374091,0.826184392,0.064006291,0.036603106,0.073206212
218,0,0,7,6,5,0,0,1,1,10,0,2,2,7,6,1,0,0,3,0,5,1,3,4,3,3,1,0,10,4,3,0,4,6,2,8,2,8,16,2,0,18,3,3,4,3,5,4,8,3,0,1,1,2,4,1,2,4,8,1,2,0,0,0.388888889,0.333333333,0.277777778,0,0,0.055555556,0.055555556,0.555555556,0,0.111111111,0.111111111,0.388888889,0.333333333,0.055555556,0,0,0.166666667,0,0.277777778,0.055555556,0.166666667,0.222222222,0.166666667,0.166666667,0.055555556,0,0.555555556,0.222222222,0.166666667,0,0.222222222,0.333333333,0.111111111,0.444444444,0.111111111,0.444444444,0.888888889,0.111111111,0,1,0.166666667,0.166666667,0.222222222,0.166666667,0.277777778,0.222222222,0.444444444,0.166666667,0,0.055555556,0.055555556,0.111111111,0.222222222,0.055555556,0.111111111,0.222222222,0.444444444,0.055555556,0.111111111,0,0,0.543527955,0.134028638,0.322443407,0,0,0.007445154,0.007445154,0.910626409,0,0.014922056,0.00974696,0.617947741,0.029828238,0.29780614,0,0,0.014906182,0,0.603057434,0.007445154,0.02236721,0.238244912,0.367114328,0.014906182,0.29780614,0,0.550973109,0.431818903,0.009762835,0,0.017207988,0.14890307,0.022335461,0.73192685,0.022335461,0.908308728,0.694748706,0.305251294,0,1,0.337333714,0.409483443,0.208464298,0.022335461,0.022383084,0.12656761,0.8487475,0.014906182,0,0.002301807,0.014890307,0.022335461,0.02236721,0.007445154,0.052116075,0.498825285,0.039575198,0.037225768,0.342477061
219,1,0,2,1,3,0,0,0,0,6,0,0,1,3,1,1,0,0,1,0,3,0,0,2,3,0,1,0,4,2,1,0,1,1,1,5,1,5,6,1,0,7,3,2,1,0,1,0,5,1,0,1,0,0,1,0,1,2,2,1,2,0.142857143,0,0.285714286,0.142857143,0.428571429,0,0,0,0,0.857142857,0,0,0.142857143,0.428571429,0.142857143,0.142857143,0,0,0.142857143,0,0.428571429,0,0,0.285714286,0.428571429,0,0.142857143,0,0.571428571,0.285714286,0.142857143,0,0.142857143,0.142857143,0.142857143,0.714285714,0.142857143,0.714285714,0.857142857,0.142857143,0,1,0.428571429,0.285714286,0.142857143,0,0.142857143,0,0.714285714,0.142857143,0,0.142857143,0,0,0.142857143,0,0.142857143,0.285714286,0.285714286,0.142857143,0.285714286,0.015133671,0,0.817218231,0.105994582,0.061653515,0,0,0,0,0.984866329,0,0,0.001118832,0.923212814,0.015133671,0.045401013,0,0,0.015133671,0,0.923212814,0,0,0.560004711,0.379460605,0,0.045401013,0,0.499470027,0.499411141,0.001118832,0,0.001118832,0.105994582,0.015133671,0.530856201,0.015133671,0.983747497,0.954598987,0.045401013,0,1,0.061653515,0.469202685,0.454010128,0,0.015133671,0,0.983747497,0.015133671,0,0.001118832,0,0,0.015133671,0,0.105994582,0.817218231,0.016252503,0.015133671,0.151395595
22,2,5,3,6,0,0,0,1,2,4,0,4,1,8,4,0,0,0,3,0,1,1,4,3,2,1,0,0,15,1,0,0,4,9,4,1,7,5,16,1,0,17,6,1,1,6,3,2,9,5,0,0,0,1,2,3,1,1,7,6,0,0.117647059,0.294117647,0.176470588,0.352941176,0,0,0,0.058823529,0.117647059,0.235294118,0,0.235294118,0.058823529,0.470588235,0.235294118,0,0,0,0.176470588,0,0.058823529,0.058823529,0.235294118,0.176470588,0.117647059,0.058823529,0,0,0.882352941,0.058823529,0,0,0.235294118,0.529411765,0.235294118,0.058823529,0.411764706,0.294117647,0.941176471,0.058823529,0,1,0.352941176,0.058823529,0.058823529,0.352941176,0.176470588,0.117647059,0.529411765,0.294117647,0,0,0,0.058823529,0.117647059,0.176470588,0.058823529,0.058823529,0.411764706,0.352941176,0,0.191176471,0.161764706,0.235294118,0.397058824,0,0,0,0.176470588,0.088235294,0.338235294,0,0.102941176,0.044117647,0.367647059,0.323529412,0,0,0,0.308823529,0,0.073529412,0.176470588,0.25,0.117647059,0.220588235,0.088235294,0,0,0.897058824,0.088235294,0,0,0.161764706,0.573529412,0.426470588,0.088235294,0.529411765,0.382352941,0.823529412,0.176470588,0,1,0.323529412,0.176470588,0.176470588,0.147058824,0.176470588,0.102941176,0.632352941,0.25,0,0,0,0.176470588,0.088235294,0.117647059,0.029411765,0.176470588,0.397058824,0.323529412,0
220,2,0,4,10,6,1,0,1,2,13,0,1,2,7,9,3,0,1,4,3,3,1,2,3,9,3,1,0,15,5,1,2,7,3,1,11,1,15,20,2,0,22,3,4,4,6,5,3,12,2,2,1,0,3,4,2,2,5,13,0,3,0.090909091,0,0.181818182,0.454545455,0.272727273,0.045454545,0,0.045454545,0.090909091,0.590909091,0,0.045454545,0.090909091,0.318181818,0.409090909,0.136363636,0,0.045454545,0.181818182,0.136363636,0.136363636,0.045454545,0.090909091,0.136363636,0.409090909,0.136363636,0.045454545,0,0.681818182,0.227272727,0.045454545,0.090909091,0.318181818,0.136363636,0.045454545,0.5,0.045454545,0.681818182,0.909090909,0.090909091,0,1,0.136363636,0.181818182,0.181818182,0.272727273,0.227272727,0.136363636,0.545454545,0.090909091,0.090909091,0.045454545,0,0.136363636,0.181818182,0.090909091,0.090909091,0.227272727,0.590909091,0,0.136363636,0.016205376,0,0.153951075,0.405625128,0.424218421,0.008102688,0,0.008102688,0.194464515,0.724508603,0,0.008102688,0.010981326,0.238841899,0.409863873,0.332210214,0,0.024308064,0.191091293,0.198328458,0.202567204,0.008102688,0.016205376,0.097232258,0.513838711,0.056718817,0.283594085,0,0.673013837,0.316004838,0.002878637,0.048616129,0.299304877,0.08912957,0.008102688,0.675401753,0.008102688,0.878954263,0.646854944,0.353145056,0,1,0.356023694,0.226875268,0.040513441,0.243080644,0.133506953,0.040513441,0.842679567,0.016205376,0.073414914,0.002878637,0,0.032410753,0.12964301,0.016205376,0.097232258,0.162053763,0.387568923,0,0.42606925
