FY,CollDate,Sample,StationID,WaterbodyName,Location,PH,COND (µs/cm),DO,TEMP,ALKALINITY [mg/L],ARSENIC DIS [ug/L],COPPER DIS [ug/L],CHLORIDE [mg/L],HARDNESS TOT [mg/L],IRON DIS [ug/L],IRON TREC [ug/L],MANGANESE DIS [ug/L],AMMONIA [mg/L],NO5 [mg/L],N-KJELDAHL [mg/L],NITROGEN TOT [mg/L],PHOSPHORUS [mg/L],SELENIUM [ug/L],SULFATE [mg/L],ZINC [ug/L],TSS [mg/L]
FY05,10/20/2004,Routine Sample,10831,Naturita Creek,at Naturita,8.35,2160,10.74,13.37,300,<1,<5,36,910,21,130,68,0.05,<0.3,<0.5,,0.022,<1.0,1100,<10,<10
FY05,10/20/2004,Routine Sample,10840,Tabeguache Creek,near mouth,8.34,598,9.88,13.08,250,2,<5,36,260,12,200,16,0.2,<0.3,<0.5,,0.073,<1.0,45,<10,11
FY05,10/20/2004,Routine Sample,10800,San Miguel River,near mouth,8.34,719,11.35,10.09,120,<1,<5,6,350,17,49,16,0.27,<0.3,<0.5,,0.014,<1.0,300,13,<10
FY05,10/21/2004,Routine Sample,10825,Leopard Creek,below Alder Creek,8.38,412,10.24,9.33,170,<1,<5,3,200,35,120,3,0.05,<0.3,1.4,,0.021,<1.0,57,<10,<10
FY05,10/21/2004,Routine Sample,10855,Beaver Creek,at mouth w/ San Miguel River,8.32,407,9.86,6.69,190,<1,<5,5,200,<10,55,4,0.08,<0.3,<0.5,,0.022,<1.0,41,<10,<10
FY05,3/15/2005,Routine Sample,10770,West Dolores River,near Stone at Hwy 145,8.41,496,11.03,-0.18,140,,<5,,160,81,,18,0.05,<0.3,<0.5,,0.017,<1.0,29,<10,
FY05,3/15/2005,Routine Sample,10901A,Lost Canyon Creek,near Dolores,7.61,101,10.75,-0.23,37,,<5,,43,220,,3,0.25,<0.3,<0.5,,0.022,<1.0,7,<10,
FY05,3/16/2005,Routine Sample,9715,Chicken Creek,at Mancos,7.55,278,9.78,3.16,48,,<5,,100,250,1200,50,0.25,<0.3,<0.5,,0.02,<1.0,68,<10,
FY05,3/16/2005,Routine Sample,9722,Mancos River,at Mancos Park,8.21,495,10.98,0.04,110,,<5,,210,62,450,35,0.05,<0.3,<0.5,,0.025,<1.0,150,<10,
FY05,3/16/2005,Routine Sample,9721,Middle Fork Mancos Creek,at Rd L,7.45,325,11.21,-0.22,90,,<5,,140,180,330,4,0.05,<0.3,<0.5,,0.019,<1.0,69,<10,
FY05,3/17/2005,Routine Sample,9825,McElmo Creek,at State Line,8.19,3050,10.97,4.19,230,,<5,,1600,<10,380,150,0.05,0.53,<0.5,,0.014,<1.0,1500,<10,
FY05,3/17/2005,Routine Sample,9830,Yellow Jacket Creek,near mouth,8.45,1620,10.53,7.76,280,,<5,,650,<10,470,230,0.05,<0.3,<0.5,,0.019,<1.0,500,<10,
FY05,3/17/2005,Routine Sample,10908,Dolores River,at Lone Dome SWA,8.33,268,10.23,6.38,91,,<5,,120,77,230,30,0.05,<0.3,<0.5,,0.016,<1.0,29,<10,
FY05,3/28/2005,Routine Sample,9415,Salt Creek,at 309A Rd.,8.61,526,9.17,10.22,170,,<5,,130,53,840,42,0.05,<0.3,<0.5,,0.035,<1.0,63,<10,
FY05,3/29/2005,Routine Sample,9431,Lightner Creek,above Perkins SWA,8.44,361,9.47,5.33,140,,<5,,180,31,420,2,0.06,<0.3,<0.5,,0.017,<1.0,39,<10,
FY05,3/29/2005,Routine Sample,9435,Hermosa Creek,at gage,8.52,415,9.88,5.18,150,,<5,,200,<10,84,<2,0.04,<0.3,<0.5,,<0.01,<1.0,63,<10,
FY05,3/29/2005,Routine Sample,9605,Cherry Creek,above La Plata at Rd 105,8.68,786,10.06,4.63,180,,<5,,350,25,3500,21,0.06,<0.3,0.97,,0.081,<1.0,210,<10,
FY05,3/30/2005,Routine Sample,9370,Vallecito Creek,at Vallecito Rd.,8.07,95,11.08,0.18,33,,<5,,42,11,31,<2,0.04,<0.3,<0.5,,<0.01,<1.0,8,<10,
FY05,3/30/2005,Routine Sample,9380,Los Pinos River,above Vallecito Reservoir,8.48,127,10.87,0.41,52,,<5,,57,31,48,3,0.04,<0.3,<0.5,,<0.01,<1.0,6,<10,
FY05,3/30/2005,Routine Sample,9680,La Plata River,at Hesperus (at Hwy 160),8.38,198,9.19,5.56,64,,<5,,95,24,52,17,0.04,<0.3,0.92,,<0.01,<1.0,26,<10,
FY05,3/30/2005,Routine Sample,138A,Florida River,at USGS Gage above Lemon Reservoir,8.64,251,10.13,2.61,96,,<5,,130,<10,16,<2,0.05,0.55,0.5,,<0.01,<1.0,25,<10,
FY05,4/27/2005,Routine Sample,10241,Lake Fork Gunnison River,at Gateview,8.05,175,8.67,6.99,34,,<5,,70,30,190,11,0.05,<0.3,<0.5,,0.019,<1.0,41,17,
FY05,4/27/2005,Routine Sample,10245,Henson Creek,above Hwy 149,7.77,160,9.08,4.3,34,,<5,,61,120,160,33,0.05,<0.3,<0.5,,0.013,<1.0,35,68,
FY05,4/27/2005,Routine Sample,10248,Lake Fork Gunnison River,above Lake San Cristobal,7.8,147,9.11,4.44,30,,<5,,60,24,110,20,0.05,<0.3,<0.5,,0.011,<1.0,34,<10,
FY05,4/28/2005,Routine Sample,10230,Cimarron River,Along Hwy 50 East Cimarron - Picnic area fishing,8.54,251,9.67,7.02,67,,<5,,92,150,600,20,0.05,<0.3,<0.5,,0.064,<1.0,45,<10,
FY05,4/28/2005,Routine Sample,10624,Cedar Creek,at Miguel Rd crossing north,8.25,1620,9.2,7.88,300,,<5,,640,14,1700,110,0.05,2.1,<0.5,,0.019,5,530,13,
FY05,4/28/2005,Routine Sample,10230B,Little Cimarron River,above confluence with Cimarron,8.09,145,8.95,6.92,44,,<5,,53,250,520,7,0.05,<0.3,<0.5,,0.089,<1.0,19,<10,
FY05,5/2/2005,Routine Sample,7622,Cucharas River,at Cuchara,7.92,174,9.64,1.24,76,,<5,,67,25,400,<2,0.05,<0.3,1,,0.011,<1.0,<3,<10,
FY05,5/2/2005,Routine Sample,7620,Wahatoya Creek,at Rd 358,8.11,220,5.38,8.26,86,,<5,,82,110,1200,12,0.12,<0.3,<0.5,,0.048,<1.0,21,<10,
FY05,5/3/2005,Routine Sample,7603,Pass Creek,at 572 Rd.,8.1,292,7.19,5.81,120,,<5,,110,58,770,9,0.05,<0.3,1.4,,0.039,<1.0,13,<10,
FY05,5/3/2005,Routine Sample,7604,Muddy Creek,at mouth,8.19,1050,7.4,5.81,170,,<5,,360,42,14000,16,0.12,1.3,0.59,,0.26,11,390,<10,
FY05,5/3/2005,Routine Sample,7609,Huerfano River,above Red Wing,7.93,161,6.58,4.24,64,,<5,,63,81,230,7,0.08,<0.3,<0.5,,0.013,<1.0,8,<10,
FY05,5/4/2005,Routine Sample,7655,Cucharas River,below Cucharas Reservoir,8.31,814,6.24,9.42,180,,<5,,200,59,770,15,0.11,<0.3,0.5,,0.042,<1.0,210,<10,
FY06,7/12/2005,Routine Sample,12144,Troublesome Creek,above confluence with East Fork,7.94,289,7.36,19.2,120,,<5,,100,150,790,43,<0.03,0.48,4.4,,0.23,2.6,7,<10,
FY06,7/12/2005,Routine Sample,12146,Muddy Creek,above Wolford Mountain Reservoir,8.28,824,7.72,22.87,220,,<5,,330,120,290,17,<0.03,<0.3,0.56,,0.012,6.3,210,11,
FY06,7/13/2005,Routine Sample,12116,Sheephorn Creek,at CR1 near Radium,8.59,384,7.56,19.5,140,,<5,,150,37,200,10,<0.03,<0.3,<0.5,,0.021,2.4,46,<10,
FY06,7/13/2005,Routine Sample,12118,Big Alkali Creek,at mouth,8.05,1760,6.81,24.55,200,,<5,,790,60,1300,300,0.06,<0.3,1.1,,0.17,39,750,20,
FY06,7/14/2005,Routine Sample,12115,Sweetwater Creek,above Sweetwater Lake,8.3,253,8.42,9.73,88,,<5,,120,<10,42,<2,0.05,<0.3,<0.5,,0.052,1.3,23,<10,
FY06,7/25/2005,Routine Sample,7183,Halfmoon Creek,at USGS gage,7.78,72,8.25,10.75,190,<1,<5,,30,43,77,4,0.03,<0.3,<0.5,,<0.01,<1.0,4,<10,
FY06,7/25/2005,Routine Sample,7188,Iowa Gulch,below Black Cloud Mine,7.96,187,8.73,6.26,68,<1,<5,,87,47,260,15,<0.03,0.52,<0.5,,0.01,1.3,16,81,
FY06,7/25/2005,Routine Sample,7191,Tennessee Creek,above Leadville,7.39,40,7.77,11.43,16,<1,<5,,15,180,440,11,0.04,<0.3,<0.5,,0.016,<1.0,<3,<10,
FY06,7/26/2005,Routine Sample,7166,South Cottonwood Creek,below Cottonwood Lake,7.72,95,7.79,16.97,31,<1,<5,,41,360,420,9,0.03,<0.3,<0.5,,<0.01,1.1,4,<10,
FY06,7/26/2005,Routine Sample,7170,Pine Creek,at Princeton,7.73,83,12.37,11.47,29,<1,<5,,33,24,240,3,0.04,<0.3,<0.5,,0.023,<1.0,7,<10,
FY06,7/26/2005,Routine Sample,7176A,South Fork Lake Creek,upstream from Sayres Gulch,7.48,93,10.86,5.26,<10,<1,6,,33,78,400,38,0.03,<0.3,<0.5,,<0.01,<1.0,27,59,
FY06,7/27/2005,Routine Sample,7137,Poncha Creek,above Hwy 285,7.76,109,6.31,20.24,48,<1,<5,,44,520,710,23,<0.03,<0.3,<0.5,,0.033,2.4,<3,<10,
FY06,7/27/2005,Routine Sample,7164,Browns Creek,at FR 255,7.59,71,7.82,11.62,11,<1,<5,,23,48,110,<2,<0.03,<0.3,<0.5,,<0.01,1,15,<10,
FY06,7/27/2005,Routine Sample,7165K,Chalk Creek,at Rd 292 Bridge,7.56,119,7.52,9.72,23,<1,<5,,47,66,96,16,<0.03,<0.3,<0.5,,<0.01,1,24,120,
FY06,7/28/2005,Routine Sample,7122,Badger Creek,above confluence w/ Arkansas R.,8.54,1227,9.02,12.18,180,2,<5,,280,<10,24,3,0.03,<0.3,<0.5,,0.067,26,100,10,
FY06,8/8/2005,Routine Sample,7503,St. Charles River,"at Hwy 50, Santa Fe Drive",7.83,2470,9.21,22.05,190,,<5,,1100,14,140,54,0.12,1.1,1.2,,0.026,35,1300,<10,
FY06,8/8/2005,Routine Sample,7710,Apishapa River,near White Rock,9.5,556,8.15,32.01,49,,<5,,150,26,550,3,0.05,<0.3,0.68,,0.03,4.4,190,<10,
FY06,8/9/2005,Routine Sample,7845,Two Butte Creek,below Two Butte Reservoir,8.14,842,6.15,26.47,190,,<5,,270,<10,62,6,<0.03,<0.3,0.57,,<0.01,12,210,<10,
FY06,8/10/2005,Routine Sample,7549,Purgatoire River,at Hwy 101,8.28,2390,7.52,27.89,130,,<5,,850,<10,480,27,<0.03,<0.3,0.53,,0.019,12,1100,14,
FY06,8/10/2005,Routine Sample,7805,Arkansas River,below John Martin Reservoir,7.81,3500,7.89,27.66,230,,<5,,1300,13,100,210,<0.03,1.1,0.61,,<0.01,28,1800,<10,
FY06,8/22/2005,Routine Sample,8111,Embargo Creek ,at campground above Cathedral Creek,7.6,64,8.08,11.94,27,<1,<5,,22,41,65,<2,<0.03,<0.3,<0.5,,0.063,<1.0,<3,<10,
FY06,8/22/2005,Routine Sample,8116,West Alder Creek,near South Fork,7.84,90,7.96,14.98,39,<1,<5,,34,380,510,32,<0.03,<0.3,<0.5,,0.16,<1.0,<3,<10,
FY06,8/23/2005,Routine Sample,8148,Lime Creek,above FR 526,8.53,100,8.17,14.74,42,3,<5,,39,200,340,11,<0.03,<0.3,<0.5,,0.12,<1.0,<3,<10,
FY06,8/23/2005,Routine Sample,8150,Red Mountain Creek,above Ivy Creek,7.95,89,9.25,6.7,19,<1,<5,,31,36,130,11,0.03,<0.3,<0.5,,0.079,<1.0,16,<10,
FY06,8/23/2005,Routine Sample,8155,South Clear Creek,below Browns Lake SWA,7.61,86,6.2,16.36,36,1,<5,,31,1100,1400,120,0.26,<0.3,0.89,,0.15,<1.0,<3,<10,
FY06,8/24/2005,Routine Sample,8147,Cross Creek,above confluence with Beaver Creek,8.23,121,9.04,6.6,52,<1,<5,,52,<10,10,<2,<0.03,<0.3,0.81,,0.078,<1.0,<3,<10,
FY06,8/24/2005,Routine Sample,8629,South Fork Carnero Creek,at FR 675 above campground,8.03,126,7.63,15.94,52,<1,<5,,51,270,880,32,<0.03,<0.3,<0.5,,0.16,<1.0,3,<10,
FY06,8/24/2005,Routine Sample,8415,Pinos Creek,near Del Norte,8.01,122,8.48,11.3,50,<1,<5,,47,61,140,8,<0.03,<0.3,<0.5,,0.078,<1.0,4,<10,
FY06,8/25/2005,Routine Sample,8520,Cotton Creek,at gage,8.32,308,9.01,7.94,85,<1,<5,,150,<10,35,<2,<0.03,<0.3,<0.5,,<0.01,<1.0,55,<10,
FY06,8/25/2005,Routine Sample,8565,North Crestone Creek,near Crestone,8.2,101,9.64,8.28,40,<1,<5,,45,<10,30,<2,0.03,<0.3,<0.5,,<0.01,<1.0,<3,<10,
FY06,9/12/2005,Routine Sample,7115,Tallahassee Creek,nr mouth,8.58,901,6.44,21.62,290,1,<5,,310,<10,<10,<2,<0.03,<0.3,<0.5,,0.044,6.8,120,<10,
FY06,9/12/2005,Routine Sample,7117,Currant Creek,at Wormer Gulch STL,8.76,694,9.03,16.76,280,<1,<5,,230,<10,<10,<2,<0.03,<0.3,<0.5,,0.054,1.6,40,<10,
FY06,9/13/2005,Routine Sample,7241,Fourmile Creek,at Garden Park,8.27,1120,7.37,12.25,190,1,<5,,480,46,130,75,<0.03,<0.3,<0.5,,0.039,1.1,380,<10,
FY06,9/13/2005,Routine Sample,7250,Cripple Creek,above Fourmile Creek,8.29,1051,6.56,14.49,98,2,<5,,260,15,170,9,0.03,6.2,0.62,,0.36,1.2,160,17,
FY06,9/14/2005,Routine Sample,7118,Grape Creek,at Temple Canyon Park,8.58,343,6.36,15.29,170,1,<5,,150,18,240,7,0.03,<0.3,<0.5,,0.049,<1,17,<10,
FY06,9/14/2005,Routine Sample,7125,Texas Creek,at Arkansas River at Hwy 50,8.53,379,7.4,14.28,210,2,<5,,170,43,170,9,<0.03,<0.3,<0.5,,0.03,<1,5,<10,
FY06,9/14/2005,Routine Sample,7130,Hayden Creek,at Coaldale Campground,8.46,292,8.27,6.78,110,<1,<5,,120,25,150,9,0.03,<0.3,<0.5,,<0.01,<1,28,<10,
FY06,9/15/2005,Routine Sample,7220,Oak Creek,at Oak Creek Campground,8.3,500,7.19,11.59,230,<1,<5,,190,25,2200,8,0.03,<0.3,<0.5,,0.062,1.1,32,<10,
FY06,9/15/2005,Routine Sample,7222,Hardscrabble Creek,above Greenwood,8.43,360,7.01,14.67,140,<1,<5,,140,73,170,6,0.03,<0.3,<0.5,,0.047,<1,30,<10,
FY06,9/15/2005,Routine Sample,7129,Arkansas River,at Salt Lick Recreation site,8.46,292,7.91,11.06,120,3,<5,,140,<10,12,<2,<0.03,<0.3,<0.5,,<0.01,<1,24,<10,
FY06,9/26/2005,Routine Sample,8367,Trinchera Creek,above Mountain Home Reservoir,7.7,182,8.35,16.17,76,,<5,,74,390,550,87,0.03,<0.3,<0.5,,0.025,<1.0,9,<10,
FY06,9/26/2005,Routine Sample,8375,Sangre de Cristo Creek,near Fort Garland,8.12,422,10.42,12.32,190,,<5,,190,33,170,160,0.03,<0.3,<0.5,,0.041,<1.0,16,<10,
FY06,9/27/2005,Routine Sample,8315,Culebra Creek,at San Luis,8.39,243,11.66,14.52,110,,<5,,100,78,160,16,0.03,<0.3,2.8,,0.046,<1.0,7,<10,
FY06,9/27/2005,Routine Sample,8329,Rito Seco Creek,above Battle Mountain Mine,7.69,133,10.59,6.88,58,,<5,,54,150,340,27,0.03,<0.3,<0.5,,0.05,<1.0,3,<10,
FY06,9/27/2005,Routine Sample,8348,Alamosa River,at Gomez,6.61,321,8.92,15.37,<10,,<5,,110,41,170,210,0.03,<0.3,<0.5,,<0.01,<1.0,110,22,
FY06,9/27/2005,Routine Sample,8355,Hot Creek,at Hot Creek SWA,8.66,205,9.05,19.95,97,,<5,,68,58,780,24,0.05,<0.3,<0.5,,0.11,<1.0,<3,<10,
FY06,9/28/2005,Routine Sample,8337,La Jara Creek,at La Jara State Wildlife Area,8.05,177,9.28,12.5,80,,<5,,61,200,600,36,0.03,<0.3,<0.5,,<0.01,<1.0,<3,<10,
FY06,9/28/2005,Routine Sample,8350,Alamosa River,at FR 250 Bridge,6.78,96,10.58,8.62,14,,<5,,32,330,2500,85,0.03,<0.3,<0.5,,<0.01,<1.0,22,<10,
FY06,9/28/2005,Routine Sample,8705,Elk Creek,above mouth at campground,7.48,57,9.38,10.54,24,,<5,,20,170,480,7,0.03,<0.3,<0.5,,0.08,<1.0,<3,<10,
FY06,9/29/2005,Routine Sample,8715,La Manga Creek,above Elk Creek,7.68,101,10.43,7.6,43,,<5,,31,260,450,3,0.04,<0.3,<0.5,,0.095,<1.0,<3,<10,
FY06,5/9/2006,Routine Sample,7502,Timpas Creek,3 mi SW of Timpas East of Brown Reservoir,7.72,278,7.22,17.93,,<1,,26,,,,,,<0.3,<0.5,,0.028,4.6,1500,,8
FY06,5/9/2006,Routine Sample,7590,Chicosa Arroyo,at 75.0 Rd,8.16,405,7.62,18.53,,<1,,74,,,,,,<0.3,<0.5,,0.015,10.6,2500,,8
FY06,5/10/2006,Routine Sample,7853,Clay Creek,at Highway 287,7.64,1358,4.93,18.77,,1,,32,,,,,,<0.3,0.6,,0.068,5.8,500,,8
FY06,5/10/2006,Routine Sample,7997A,East Carrizo Creek,at Carrizo Picnic Area,7.73,627,6.43,14.32,,3,,18,,,,,,<0.3,<0.5,,0.15,5.3,52,,8
FY07,7/17/2006,Routine Sample,6543A,Arikaree River,at DD Rd. bridge,8.21,565,9.26,31.41,280,7,<5,7,200,39,300,14,<0.03,<0.3,<0.5,,0.08,<1.0,12,<10,28
FY07,7/17/2006,Routine Sample,6026,Black Wolf Creek,at Hwy 385,8.11,426,8.39,26.11,200,11,<5,6,150,43,790,8,0.07,0.69,0.69,,0.04,<1.0,11,<10,46
FY07,7/18/2006,Routine Sample,6266,North Fork Republican River,at Sandsage SWA,7.82,370,8.81,17.4,170,9,<5,3,140,35,580,13,0.04,1.6,<0.5,,0.04,<1.0,11,<10,40
FY07,7/18/2006,Routine Sample,6030,Chief Creek,"at DOW Hatchery Bridge, u/s from Wray",8.17,312,7.43,24.86,140,10,<5,3,110,40,100,5,0.09,0.74,<0.5,,0.04,<1.0,9,<10,12
FY07,8/7/2006,Routine Sample,11770,South Fork White River,at Oak Ridge SWA near gage,8.27,303,7.19,31.8,120,<1,<5,,140,16,63,3,0.04,<0.3,<0.5,,0.02,<1.0,29,<10,
FY07,8/7/2006,Routine Sample,11765,East Miller Creek,at Cty Rd 57,8.09,828,7.28,11.59,150,<1,<5,,440,<10,13,2,<0.03,0.44,<0.5,,<0.01,<1.0,300,<10,
FY07,8/8/2006,Routine Sample,11601,Piceance Creek,at Cty Rd 5,7.88,277,6.77,15.79,970,5,<5,,560,130,270,120,<0.03,<0.3,0.6,,0.16,<1.0,600,<10,
FY07,8/8/2006,Routine Sample,11625,Black Sulphur Creek,at 29 Rd.,7.93,993,6.54,13.94,340,2,<5,,380,50,120,38,<0.03,<0.3,<0.5,,0.02,1.8,200,<10,
FY07,8/8/2006,Routine Sample,11728,Duck Creek,at Cty Rd 20,8.25,259,5.47,22.21,390,3,<5,,450,11,1200,59,<0.03,<0.3,<0.5,,0.05,1.2,380,<10,
FY07,8/9/2006,Routine Sample,11732A,Yellow Creek,at confluence with Barcus Creek,8.17,282,9.28,14.67,690,5,<5,,800,14,22,<2,<0.03,0.47,0.52,,0.03,2.5,930,<10,
FY07,8/9/2006,Routine Sample,11726,East Douglas Creek,above Cathedral Creek,8.42,765,5.54,20.47,240,2,<5,,290,16,2300,5,<0.03,<0.3,<0.5,,0.05,<1.0,180,<10,
FY07,8/10/2006,Routine Sample,11722,Cathedral Creek,at Cty Rd 28,8.19,1480,7.15,14.79,500,4,<5,,840,14,170,5,0.03,0.84,0.74,,0.06,7.1,1000,<10,
FY07,8/10/2006,Routine Sample,11720,West Douglas Creek,above West Creek,8.33,296,6.6,13.42,330,<1,<5,,1100,23,110,59,0.03,<0.3,0.7,,0.02,<1.0,1400,<10,
FY07,8/14/2006,Routine Sample,11412,Little Snake River,at FR 129 (on Williams property),8.3,198,8.19,22.79,84,3,<5,3,70,90,230,7,<0.03,<0.3,<0.5,,0.02,<1.0,8,<10,
FY07,8/14/2006,Routine Sample,11446,Slater Creek,at Cty. Rd. 1 nr. USGS station,8.42,322,6.91,21.5,160,1,<5,<2,130,100,410,25,<0.03,<0.3,<0.5,<0.5,0.04,<1.0,7,<10,
FY07,8/15/2006,Routine Sample,11480,Talamantes Creek,at 94 Rd,8.46,373,8.26,11.78,180,2,<5,3,180,20,260,3,<0.03,<0.3,<0.5,<0.5,0.06,<1.0,7,<10,
FY07,8/15/2006,Routine Sample,11485,Vermillion Creek,at Hwy 318,8.46,964,8.27,18.6,180,3,<5,130,230,13,890,3,<0.03,<0.3,<0.5,<0.5,0.04,2.2,110,<10,
FY07,8/16/2006,Routine Sample,12832,Little Bear Creek,at 27 Rd N. of Craig,8.76,102,7.56,22.32,49,<1,<5,<2,41,73,140,2,0.03,<0.3,<0.5,<0.5,0.03,<1.0,<3,<10,
FY07,9/11/2006,Routine Sample,11193,Garfield Creek,at 312 Rd in SWA,8.42,669,10.37,13.75,,1,,8,,24,83,,<0.03,<0.3,<0.5,<0.5,0.01,<1.0,230,,<10
